Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed
Giannis Antetokounmpo,7,4,10,6,8,9,9,8
Khris Middleton,5,8,7,1,1,7,5,4
Jrue Holiday,7,7,7,7,2,9,1,6
Donte DiVincenzo,6,5,5,4,1,6,2,8
Brook Lopez,1,7,6,1,7,8,10,1
Bobby Portis,1,7,5,1,2,6,8,3
Grayson Allen,5,5,5,1,1,4,2,7
George Hill,7,5,6,1,1,5,1,5
Jordan Nwora,3,5,5,5,2,1,5,2
Pat Connaughton,6,4,6,1,1,4,3,5
Semi Ojeleye,4,4,4,1,1,3,4,6
Rodney Hood,6,6,3,1,1,4,6,4
Thanasis Antetokounmpo,4,3,5,2,2,2,4,5
Georgios Kalaitzakis,1,1,1,1,1,1,6,1
Sandro Mamukelashvili,1,1,1,1,1,1,9,1
