Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed
Jayson Tatum,7,7,8,5,1,8,6,6
Jaylen Brown,6,8,8,5,2,7,4,5
Dennis Schroder,7,7,6,1,1,5,1,7
Enes Kanter,1,3,7,1,3,1,8,2
Robert Williams,1,1,8,3,9,5,6,4
Al Horford,1,5,5,1,4,6,7,2
Marcus Smart,5,6,3,5,2,9,1,5
Payton Pritchard,6,6,5,1,1,2,1,5
Josh Richardson,6,6,6,1,1,7,3,6
Juan Hernangomez,3,5,4,1,1,3,7,2
Jabari Parker,5,3,7,1,5,2,6,4
Aaron Nesmith,4,5,4,1,1,3,4,2
Bruno Fernando,1,2,6,1,1,3,7,5
Juhann Begarin,1,1,1,1,1,1,3,1
Sam Hauser,1,1,1,1,1,1,6,1
