Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed
Jimmy Butler,7,6,8,9,1,9,5,7
Bam Adebayo,4,5,7,2,4,9,7,5
Kyle Lowry,7,7,6,5,1,7,1,7
Victor Oladipo,6,5,7,5,1,7,2,6
Tyler Herro,7,6,7,1,1,4,3,6
Duncan Robinson,4,7,5,1,1,1,5,2
PJ Tucker,3,5,2,1,1,6,3,3
Dewayne Dedmon,1,2,2,3,4,6,10,1
Max Strus,4,5,4,1,1,2,3,5
Markieff Morriss,1,4,3,1,2,5,6,2
Caleb Martin,3,5,6,4,1,2,3,2
Omer Yurtseven,2,4,4,1,2,2,10,2
KZ Okpala,2,4,7,1,3,3,6,5
Marcus Garrett,1,1,1,1,1,1,3,1
DJ Stewart Jr.,1,1,1,1,1,1,4,1
