Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed
DeAaron Fox,8,6,9,6,1,6,1,9
Tyrese Haliburton,7,7,5,3,2,5,3,6
Buddy Hield,6,7,5,1,1,4,2,5
Richaun Holmes,2,5,7,1,6,5,8,2
Marving Bagley III,2,5,7,1,2,4,9,5
Harrison Barnes,6,6,6,1,1,5,6,5
Tristan Thompson,1,3,7,1,3,5,7,3
Davion Mitchell,1,5,5,5,2,6,1,6
Alex Len,1,4,6,1,7,5,10,1
Terence Davis,6,5,5,2,1,5,2,5
Chimezie Metu,1,5,6,1,4,3,7,1
Maurice Harkless,3,3,6,2,2,5,5,4
Damian Jones,1,2,7,1,6,5,9,3
Jahmius Ramsey,5,5,3,2,1,3,2,3
Neemias Queta,1,1,1,1,1,1,10,1
