Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed
Chris Paul,9,8,6,7,1,8,1,6
Devin Booker,7,8,8,1,1,5,3,6
Deandre Ayton,2,4,8,1,5,6,9,5
Mikal Bridges,6,6,5,7,3,7,4,6
Cameron Johnson,2,5,3,1,1,2,6,4
Jae Crowder,5,5,5,1,2,6,4,4
Dario Saric,4,4,6,1,1,4,8,3
Frank Kaminsky III,2,5,6,1,2,3,10,1
Cameron Payne,6,7,7,1,1,2,1,5
JaVale McGee,1,2,9,1,8,6,10,3
Adbel Nader,4,5,6,1,2,2,3,4
Elfrid Payton,7,4,7,1,1,6,1,5
Landry Shamet,6,6,5,1,1,2,2,7
Jalen Smith,1,5,7,1,4,4,8,4
Chandler Hutchison,4,4,6,1,1,4,5,6
