Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed
Damian Lillard,9,8,9,1,1,4,1,8
CJ McCollum,7,8,6,1,1,4,1,6
Jusuf Nurkic,1,5,5,3,6,6,10,1
Normal Powell,6,6,7,2,1,6,1,6
Robert Covington,4,5,4,5,5,7,5,4
Cody Zeller,1,2,5,1,2,2,10,4
Larry Nance Jr.,3,6,7,7,2,4,5,3
Anfernee Simons,6,7,8,1,1,2,1,7
Tony Snell,5,6,5,1,1,6,4,4
Marquese Chriss,1,3,8,1,7,2,7,4
Nassir Little,3,6,6,1,2,4,3,5
Dennis Smith Jr.,7,4,7,5,4,3,1,7
Ben McLemore,5,5,6,1,1,3,1,4
Greg Brown III,4,4,6,1,2,2,7,4
Trendon Watford,1,1,1,1,1,1,7,1
