Player,Dribbling,Shooting,Finishing,Stealing,Blocking,Contesting,Height,Speed
Bradley Beal,8,8,9,1,1,3,1,5
Spencer Dinwiddie,8,5,6,1,1,5,3,6
Thomas Bryant,2,6,5,1,3,3,8,2
Rui Hachimura,4,7,6,1,1,2,6,4
Daniel Gafford,1,1,7,1,9,4,8,5
Kyle Kuzma,5,5,6,1,2,3,6,4
Montrezl Harrell,1,1,7,1,3,5,5,2
Davis Bertans,4,6,4,1,1,3,8,2
Deni Avdija,6,5,5,1,1,4,7,5
Raul Neto,6,6,4,5,1,5,1,4
Corey Kispert,4,6,5,1,1,4,5,5
Kentavious Caldwell-Pope,5,5,5,1,1,7,3,7
Aaron Holiday,7,7,5,2,1,4,1,5
Anthony Gill,2,5,5,3,2,3,6,4
Isaiah Todd,4,4,6,1,1,2,8,2
