Jalen Green,7,8,7,6,8,1,1,1,5,8,8,5,7,5,4,1,8,2,4,2
Alperen Sengun,2,9,4,4,6,1,5,4,3,1,8,6,1,3,7,4,7,8,28,2
Kevin Porter,6,8,7,6,7,1,1,1,4,7,8,6,7,5,2,1,6,2,3,4
Jabari Smith,5,7,5,5,5,1,4,4,4,5,8,3,4,4,3,2,8,8,1,1
Tari Eason,4,2,4,6,6,8,3,3,4,6,7,1,4,5,4,4,6,6,17,1
Jae'Sean Tate,5,6,4,5,7,3,1,4,4,4,8,4,2,4,4,3,6,2,8,5
Kenyon Martin,5,8,4,5,5,1,1,1,3,7,6,3,4,4,1,2,6,3,6,3
Usman Garuba,3,4,2,5,6,5,6,4,4,4,7,2,2,5,6,4,6,6,16,2
Frank Kaminsky,1,9,4,6,6,1,1,3,1,1,8,1,1,1,1,3,5,10,0,8
Josh Christopher,5,9,5,4,6,1,1,1,3,7,8,4,6,6,3,1,6,1,9,2
Boban Marjanovic,1,7,4,3,1,1,2,5,1,1,4,2,1,1,5,4,5,10,51,8
TyTy Washington,7,4,5,4,5,1,1,1,3,6,9,4,6,5,4,1,6,1,0,1
Daishen Nix,5,4,2,5,5,5,1,1,2,8,6,4,7,5,2,3,4,2,15,2
Trevor Hudgins,5,4,5,6,4,1,1,1,1,5,7,4,5,3,1,1,4,1,39,1
Darius Days,1,3,4,5,4,1,1,3,3,4,7,1,2,4,1,3,4,5,38,1
