Julius Randle,6,9,5,6,8,1,1,5,5,5,9,5,4,5,1,7,7,6,30,9
Jalen Brunson,8,8,8,7,8,1,1,1,4,6,9,7,6,6,1,1,7,1,11,5
R.J. Barrett,7,4,5,5,8,1,1,2,6,7,9,6,6,7,5,5,7,4,9,4
Mitchell Robinson,1,5,4,1,6,1,8,7,1,1,7,4,1,3,3,4,6,10,23,5
Immanuel Quickley,7,8,5,5,7,1,1,1,4,6,8,7,5,5,1,1,6,1,5,3
Obi Toppin,2,5,5,6,6,1,1,3,1,4,8,1,1,1,1,5,6,7,1,3
Josh Hart,6,6,4,5,7,1,1,1,4,6,8,5,6,5,4,1,6,3,11,6
Jericho Sims,1,4,4,1,3,1,7,3,1,6,7,1,1,1,1,3,5,7,45,2
Derrick Rose,7,7,4,5,7,1,1,1,3,7,7,7,7,5,3,1,7,1,4,15
Quentin Grimes,5,6,6,6,6,1,1,1,4,7,7,4,6,5,4,3,6,2,6,2
Isaiah Hartenstein,1,8,4,3,5,1,5,2,1,2,6,1,1,1,1,2,5,10,55,6
Evan Fournier,6,7,7,5,7,1,1,1,4,4,9,5,3,4,4,1,6,4,13,11
Miles McBride,5,4,5,4,6,3,1,1,5,7,7,4,6,5,4,1,5,1,2,2
DaQuan Jeffries,4,2,5,5,4,1,1,1,2,6,6,1,4,4,1,1,5,3,8,4
Trevor Keels,6,4,4,4,4,1,1,1,2,5,7,5,5,5,1,2,4,3,3,1
