Joel Embiid,1,7,7,6,7,1,6,9,3,4,9,1,10,21
James Harden,9,6,6,7,8,1,1,2,4,7,10,6,3,1
Tyrese Maxey,7,7,6,7,8,1,1,1,6,7,8,7,1,0
Tobias Harris,6,8,8,6,6,1,1,2,2,5,9,5,6,12
De'Anthony Melton,7,6,4,6,7,9,2,1,6,5,6,6,1,0
Matisse Thybulle,3,5,1,5,5,9,5,2,8,5,7,1,3,22
P.J. Tucker,3,9,5,7,1,1,1,5,6,3,8,4,3,17
Paul Millsap,4,7,3,4,4,1,3,4,3,2,4,2,5,8
Shake Milton,6,6,4,4,7,1,1,1,3,5,6,6,3,18
Charles Bassey,1,5,4,1,4,1,8,4,1,5,6,1,7,23
Furkan Korkmaz,5,4,4,4,5,1,1,1,3,4,7,1,5,30
Paul Reed,1,4,4,3,3,6,7,4,1,1,6,1,7,44
Georges Niang,3,8,5,7,5,1,1,2,1,1,8,3,5,20
Danuel House,4,1,5,6,6,1,2,1,2,3,7,4,4,40
Jaden Springer,6,5,5,5,5,3,1,1,4,6,7,5,1,11
Isaiah Joe,4,6,5,5,4,1,1,1,4,4,6,1,2,7
Charlie Brown,5,5,5,6,6,1,1,1,3,5,6,2,4,16
Trevelin Queen,4,3,4,5,4,1,1,1,2,4,6,3,4,21
Myles Powell,5,4,4,6,5,1,1,1,1,5,6,5,1,5
