Bradley Beal,8,7,7,6,9,1,1,1,3,5,10,6,5,5,3,2,8,2,3,10
Kristaps Porzingis,4,7,6,5,6,1,7,6,1,3,9,1,1,2,2,5,7,10,6,7
Kyle Kuzma,5,9,4,5,7,1,2,2,3,4,7,3,3,4,1,5,6,7,33,5
Monte Morris,7,9,9,7,6,1,1,1,2,7,7,9,7,4,1,1,6,1,0,5
Daniel Gafford,1,8,3,1,6,1,7,4,1,5,6,1,1,2,1,5,6,7,21,3
Will Barton,6,7,4,6,7,1,1,1,6,5,6,5,5,6,3,1,6,3,5,10
Deni Avdija,6,8,5,5,5,1,2,2,6,5,8,5,4,6,5,3,6,7,9,2
Rui Hachimura,4,6,4,6,5,1,1,2,1,4,8,1,3,3,1,6,6,6,8,3
Corey Kispert,4,9,6,6,5,1,1,1,4,5,7,3,3,5,3,2,6,4,24,1
Delon Wright,7,5,3,6,6,8,1,1,5,5,8,7,4,5,6,2,5,3,55,7
Johnny Davis,6,6,6,5,5,1,1,4,5,6,7,4,4,6,1,1,7,3,1,0
Taj Gibson,1,7,6,5,3,1,6,4,2,1,5,1,1,1,2,7,5,7,67,13
Vernon Carey,1,7,5,3,1,1,6,3,1,1,6,1,1,1,1,7,5,7,22,2
Anthony Gill,1,8,4,6,4,1,2,3,2,4,6,1,1,1,2,2,5,5,16,2
Isaiah Todd,4,4,4,5,4,1,1,1,1,2,6,2,1,3,1,4,5,7,14,1
